framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,linear,193,4632,12,0.9135,0.0319,466.3,334.1,29.702,,,0.014372,True
ezkl,linear,194,4632,12,1.0437,0.0329,467.6,335.3,29.858,,,0.01437,True
ezkl,linear,195,4632,12,0.8208,0.0315,475.2,334.4,29.762,,,0.156259,True
ezkl,linear,196,4632,12,0.7935,0.0305,478.9,331.3,29.764,,,0.152014,True
ezkl,linear,197,4632,12,0.8677,0.029,466.8,334.4,29.763,,,0.05553,True
ezkl,linear,198,4632,12,0.7948,0.0281,468.0,334.4,29.793,,,0.016157,True
ezkl,linear,199,4632,12,0.779,0.0261,467.3,334.2,29.76,,,0.025723,True
ezkl,linear,200,4632,12,0.7817,0.0301,484.8,335.4,29.729,,,0.166822,True
ezkl,linear,201,4632,12,0.8237,0.028,468.6,334.4,29.833,,,0.17129,True
ezkl,linear,202,4632,12,0.8104,0.0274,478.8,336.4,29.783,,,0.011547,True
ezkl,linear,203,4632,12,0.8113,0.0264,480.7,337.4,29.845,,,0.041798,True
ezkl,linear,204,4632,12,1.0543,0.0307,424.0,331.8,29.795,,,0.012629,True
ezkl,linear,205,4632,12,0.7915,0.032,483.9,327.7,29.802,,,0.025404,True
ezkl,linear,206,4632,12,0.8499,0.0296,468.3,327.7,29.804,,,0.015883,True
ezkl,linear,207,4632,12,0.8365,0.031,479.4,328.1,29.738,,,0.021923,True
ezkl,linear,208,4632,12,0.838,0.0295,477.3,332.0,29.869,,,0.010612,True
ezkl,linear,209,4632,12,0.8748,0.0277,474.4,331.0,29.832,,,0.041667,True
ezkl,linear,210,4632,12,0.8203,0.0296,484.0,331.1,29.809,,,0.010328,True
ezkl,linear,211,4632,12,0.8375,0.0298,463.3,328.0,29.806,,,0.017107,True
ezkl,linear,212,4632,12,0.7853,0.0267,495.3,331.0,29.721,,,0.066649,True
ezkl,linear,213,4632,12,0.811,0.0305,487.0,331.5,29.707,,,0.018303,True
ezkl,linear,214,4632,12,0.7789,0.0268,478.9,331.5,29.773,,,0.032776,True
ezkl,linear,215,4632,12,0.7968,0.0278,482.0,331.4,29.808,,,0.011708,True
ezkl,linear,216,4632,12,0.7777,0.0298,483.5,328.4,29.851,,,0.026934,True
ezkl,linear,217,4632,12,0.8377,0.0288,477.5,331.5,29.781,,,0.025547,True
