framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,dlinear,263,9264,12,0.86,0.019,0.001,0.368,40.033203125,4174.7,1.364,5.960464477539062e-07,0.033685,True
deepprove,dlinear,264,9264,12,0.837,0.017,0.001,0.378,40.033203125,4174.6,1.345,4.76837158203125e-07,0.032903,True
deepprove,dlinear,265,9264,12,0.825,0.02,0.001,0.359,40.033203125,4174.6,1.32,4.76837158203125e-07,0.015698,True
deepprove,dlinear,266,9264,12,0.919,0.019,0.001,0.49,40.033203125,4174.6,1.545,3.5762786865234375e-07,0.033826,True
deepprove,dlinear,267,9264,12,0.802,0.018,0.001,0.343,40.033203125,4174.6,1.28,3.5762786865234375e-07,0.011184,True
deepprove,dlinear,268,9264,12,0.812,0.018,0.001,0.369,40.033203125,4174.6,1.314,3.5762786865234375e-07,0.022285,True
deepprove,dlinear,269,9264,12,1.006,0.02,0.001,0.367,40.033203125,4174.6,1.508,4.76837158203125e-07,0.020998,True
deepprove,dlinear,270,9264,12,0.843,0.019,0.001,0.36,40.033203125,4174.6,1.337,5.364418029785156e-07,0.027325,True
deepprove,dlinear,271,9264,12,0.876,0.019,0.001,0.431,40.033203125,4174.6,1.445,4.76837158203125e-07,0.032537,True
deepprove,dlinear,272,9264,12,0.813,0.017,0.001,0.356,40.033203125,4174.6,1.302,2.384185791015625e-07,0.025208,True
deepprove,dlinear,273,9264,12,0.941,0.018,0.001,0.46,40.033203125,4174.6,1.546,4.76837158203125e-07,0.028041,True
deepprove,dlinear,274,9264,12,0.786,0.017,0.001,0.382,40.033203125,4174.6,1.304,5.960464477539062e-07,0.123832,True
deepprove,dlinear,275,9264,12,0.802,0.016,0.001,0.343,40.033203125,4174.6,1.282,4.76837158203125e-07,0.110056,True
deepprove,dlinear,276,9264,12,1.024,0.02,0.001,0.361,40.033203125,4174.6,1.522,4.76837158203125e-07,0.034105,True
deepprove,dlinear,277,9264,12,0.841,0.019,0.001,0.395,40.033203125,4174.6,1.396,5.960464477539062e-07,0.019235,True
deepprove,dlinear,278,9264,12,0.85,0.016,0.001,0.539,40.033203125,4174.6,1.611,4.76837158203125e-07,0.016877,True
