framework,model,site,params,bit_len,prove_s,verify_s,inference_s,context_s,proof_kb,peak_mem_mb,wall_s,affine_recon_err,mse_float,verified
deepprove,nlinear,136,4632,12,0.833,0.017,0.001,0.369,40.033203125,2638.6,1.348,8.344650268554688e-07,0.017515,True
deepprove,nlinear,137,4632,12,1.015,0.017,0.001,0.491,40.033203125,4174.6,1.636,4.76837158203125e-07,0.033383,True
deepprove,nlinear,138,4632,12,0.819,0.016,0.001,0.347,40.033203125,4174.6,1.297,2.384185791015625e-07,0.02171,True
deepprove,nlinear,139,4632,12,0.833,0.018,0.001,0.387,40.033203125,4174.6,1.351,4.172325134277344e-07,0.019833,True
deepprove,nlinear,140,4632,12,0.948,0.023,0.001,0.373,40.033203125,4174.6,1.46,4.76837158203125e-07,0.088978,True
deepprove,nlinear,141,4632,12,0.848,0.017,0.001,0.4,40.033203125,4174.6,1.383,5.960464477539062e-07,0.080307,True
deepprove,nlinear,142,4632,12,0.847,0.023,0.001,0.373,40.033203125,4174.5,1.36,4.76837158203125e-07,0.101338,True
deepprove,nlinear,143,4632,12,0.788,0.018,0.001,0.359,40.033203125,4174.6,1.278,4.76837158203125e-07,0.04371,True
deepprove,nlinear,144,4632,12,1.027,0.016,0.001,0.421,40.033203125,4174.6,1.581,3.5762786865234375e-07,0.074977,True
deepprove,nlinear,145,4632,12,0.871,0.019,0.001,0.372,40.033203125,4174.6,1.38,9.5367431640625e-07,0.083911,True
deepprove,nlinear,146,4632,12,0.87,0.017,0.001,0.344,40.033203125,4174.6,1.346,2.5331974029541016e-07,0.021509,True
deepprove,nlinear,147,4632,12,0.891,0.022,0.001,0.388,40.033203125,4174.6,1.414,5.960464477539062e-07,0.086478,True
deepprove,nlinear,148,4632,12,0.84,0.016,0.001,0.465,40.033203125,4174.6,1.449,2.384185791015625e-07,0.017951,True
deepprove,nlinear,149,4632,12,0.844,0.019,0.001,0.406,40.033203125,4174.6,1.38,3.5762786865234375e-07,0.011435,True
deepprove,nlinear,150,4632,12,0.842,0.02,0.001,0.364,40.033203125,4174.6,1.346,7.152557373046875e-07,0.021281,True
deepprove,nlinear,151,4632,12,1.03,0.023,0.001,0.429,40.033203125,4174.6,1.601,8.344650268554688e-07,0.022228,True
deepprove,nlinear,152,4632,12,0.793,0.019,0.001,0.375,40.033203125,4174.6,1.302,4.76837158203125e-07,0.02464,True
deepprove,nlinear,153,4632,12,0.804,0.017,0.001,0.356,40.033203125,4174.6,1.295,4.76837158203125e-07,0.025887,True
deepprove,nlinear,154,4632,12,0.916,0.019,0.001,0.344,40.033203125,4174.6,1.397,5.960464477539062e-07,0.099397,True
deepprove,nlinear,155,4632,12,0.865,0.019,0.001,0.472,40.033203125,4174.6,1.475,5.960464477539062e-07,0.027995,True
deepprove,nlinear,156,4632,12,1.044,0.022,0.001,0.357,40.033203125,4174.6,1.547,3.5762786865234375e-07,0.099702,True
deepprove,nlinear,157,4632,12,0.803,0.018,0.001,0.389,40.033203125,4174.6,1.331,5.960464477539062e-07,0.058872,True
deepprove,nlinear,158,4632,12,1.02,0.018,0.001,0.452,40.033203125,4174.6,1.606,4.172325134277344e-07,0.007892,True
deepprove,nlinear,159,4632,12,0.867,0.018,0.001,0.359,40.033203125,4174.6,1.361,4.172325134277344e-07,0.037345,True
deepprove,nlinear,160,4632,12,0.849,0.019,0.001,0.345,40.033203125,4174.6,1.326,7.152557373046875e-07,0.027769,True
deepprove,nlinear,161,4632,12,0.972,0.019,0.001,0.403,40.033203125,4174.6,1.508,2.384185791015625e-07,0.02085,True
deepprove,nlinear,162,4632,12,0.817,0.017,0.001,0.399,40.033203125,4174.6,1.346,7.152557373046875e-07,0.01434,True
deepprove,nlinear,163,4632,12,0.868,0.016,0.001,0.342,40.033203125,4174.6,1.339,4.76837158203125e-07,0.033349,True
deepprove,nlinear,164,4632,12,0.81,0.02,0.001,0.38,40.033203125,4174.6,1.324,3.5762786865234375e-07,0.019441,True
deepprove,nlinear,165,4632,12,0.994,0.016,0.001,0.441,40.033203125,4174.6,1.568,5.960464477539062e-07,0.029156,True
deepprove,nlinear,166,4632,12,0.796,0.019,0.001,0.385,40.033203125,4174.6,1.318,4.76837158203125e-07,0.041779,True
deepprove,nlinear,167,4632,12,0.79,0.019,0.001,0.354,40.033203125,4174.6,1.283,5.960464477539062e-07,0.00679,True
deepprove,nlinear,168,4632,12,0.938,0.021,0.001,0.37,40.033203125,4174.6,1.449,3.5762786865234375e-07,0.01793,True
deepprove,nlinear,169,4632,12,0.916,0.017,0.001,0.446,40.033203125,4174.6,1.502,5.960464477539062e-07,0.05477,True
deepprove,nlinear,170,4632,12,0.862,0.018,0.001,0.39,40.033203125,4174.6,1.388,2.384185791015625e-07,0.05195,True
deepprove,nlinear,171,4632,12,0.844,0.02,0.001,0.362,40.033203125,4174.6,1.339,5.960464477539062e-07,0.032811,True
deepprove,nlinear,172,4632,12,1.055,0.018,0.001,0.442,40.033203125,3982.6,1.627,3.5762786865234375e-07,0.013009,True
deepprove,nlinear,173,4632,12,1.023,0.017,0.001,0.446,40.033203125,4174.6,1.61,3.5762786865234375e-07,0.035485,True
deepprove,nlinear,174,4632,12,0.933,0.017,0.001,0.431,40.033203125,4174.6,1.503,3.5762786865234375e-07,0.009293,True
deepprove,nlinear,175,4632,12,1.145,0.019,0.001,0.523,40.033203125,4174.6,1.801,3.5762786865234375e-07,0.004884,True
deepprove,nlinear,176,4632,12,0.823,0.017,0.001,0.376,40.033203125,4174.7,1.332,2.980232238769531e-07,0.010396,True
deepprove,nlinear,177,4632,12,0.901,0.017,0.001,0.708,40.033203125,4174.6,1.739,7.152557373046875e-07,0.011238,True
deepprove,nlinear,178,4632,12,1.088,0.016,0.001,0.351,40.033203125,4174.6,1.562,3.5762786865234375e-07,0.017049,True
