framework,model,site,params,logrows,prove_s,verify_s,cpu_pct,peak_mem_mb,proof_kb,mean_abs_err,median_abs_err,mse_float,verified
ezkl,nlinear,228,4632,12,0.7836,0.0284,497.7,336.6,29.823,,,0.01928,True
ezkl,nlinear,229,4632,12,0.8346,0.0301,468.5,339.7,29.861,,,0.023996,True
ezkl,nlinear,230,4632,12,0.8266,0.0348,475.4,336.6,29.824,,,0.025883,True
ezkl,nlinear,231,4632,12,0.7919,0.0398,482.4,339.6,29.81,,,0.063876,True
ezkl,nlinear,232,4632,12,0.8274,0.0331,458.1,339.5,29.836,,,0.03525,True
ezkl,nlinear,233,4632,12,1.032,0.0282,465.1,340.7,29.845,,,0.019341,True
ezkl,nlinear,234,4632,12,0.8818,0.0326,469.5,339.8,29.816,,,0.054926,True
ezkl,nlinear,235,4632,12,0.778,0.0272,470.5,339.7,29.744,,,0.060185,True
ezkl,nlinear,236,4632,12,0.8086,0.028,481.1,339.7,29.828,,,0.107741,True
ezkl,nlinear,237,4632,12,0.8915,0.0285,471.1,339.7,29.8,,,0.009852,True
ezkl,nlinear,238,4632,12,0.8848,0.0336,476.9,343.1,29.829,,,0.083356,True
ezkl,nlinear,239,4632,12,1.1667,0.0311,455.1,338.2,29.835,,,0.010409,True
ezkl,nlinear,240,4632,12,0.8497,0.0324,479.0,341.2,29.842,,,0.045104,True
ezkl,nlinear,241,4632,12,0.976,0.0355,484.6,341.1,29.822,,,0.07704,True
ezkl,nlinear,242,4632,12,0.8396,0.0324,475.2,340.1,29.791,,,0.034867,True
ezkl,nlinear,243,4632,12,0.8759,0.0299,456.7,343.2,29.756,,,0.118433,True
ezkl,nlinear,244,4632,12,0.7593,0.0314,492.5,340.2,29.796,,,0.026337,True
ezkl,nlinear,245,4632,12,0.815,0.0307,466.3,343.3,29.799,,,0.042609,True
ezkl,nlinear,246,4632,12,0.8006,0.0288,488.4,343.2,29.768,,,0.035087,True
ezkl,nlinear,247,4632,12,0.805,0.0296,485.7,344.2,29.765,,,0.023303,True
ezkl,nlinear,248,4632,12,0.8754,0.0324,484.3,343.3,29.746,,,0.037714,True
ezkl,nlinear,249,4632,12,0.7662,0.0296,485.5,344.2,29.725,,,0.02482,True
ezkl,nlinear,250,4632,12,0.8062,0.0306,494.9,343.2,29.86,,,0.027539,True
ezkl,nlinear,251,4632,12,0.8597,0.0314,476.9,345.2,29.828,,,0.019706,True
ezkl,nlinear,252,4632,12,0.8294,0.0317,470.2,343.2,29.88,,,0.028553,True
ezkl,nlinear,253,4632,12,0.8486,0.0313,472.6,345.2,29.796,,,0.010466,True
ezkl,nlinear,254,4632,12,0.8387,0.0309,474.5,343.3,29.826,,,0.018775,True
ezkl,nlinear,255,4632,12,0.8586,0.0329,477.5,343.3,29.764,,,0.04825,True
ezkl,nlinear,256,4632,12,0.8159,0.0298,482.9,343.0,29.843,,,0.033918,True
ezkl,nlinear,257,4632,12,0.7613,0.0278,480.7,343.1,29.788,,,0.025309,True
